age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
58,7,3,5,2,2,2,0,0,0,366,1,999,0,93.994,-36.4,4.857,0
32,2,0,3,2,2,2,0,0,0,314,1,999,0,93.994,-36.4,4.857,0
38,8,2,4,2,1,2,0,0,0,160,1,999,0,93.994,-36.4,4.857,0
57,8,0,5,2,1,1,0,0,0,212,1,999,0,93.994,-36.4,4.857,0
44,8,0,5,1,2,2,0,0,0,188,1,999,0,93.994,-36.4,4.857,0
42,5,2,4,1,1,2,0,0,0,22,1,999,0,93.994,-36.4,4.857,0
57,8,0,5,2,2,1,0,0,0,616,1,999,0,93.994,-36.4,4.857,0
40,0,0,0,2,1,1,0,0,0,178,1,999,0,93.994,-36.4,4.857,0
35,8,0,5,2,2,2,0,0,0,355,1,999,0,93.994,-36.4,4.857,0
45,0,0,0,2,2,2,0,0,0,225,2,999,0,93.994,-36.4,4.857,0
54,8,0,3,2,1,2,0,0,0,160,1,999,0,93.994,-36.4,4.857,0
39,3,0,2,2,1,1,0,0,0,266,1,999,0,93.994,-36.4,4.857,0
60,8,0,3,2,1,2,0,0,0,253,1,999,0,93.994,-36.4,4.857,0
53,8,2,4,2,1,2,0,0,0,179,1,999,0,93.994,-36.4,4.857,0
55,0,0,2,1,1,2,0,0,0,269,2,999,0,93.994,-36.4,4.857,0
55,5,0,4,1,2,2,0,0,0,135,1,999,0,93.994,-36.4,4.857,0
50,7,0,5,1,1,1,0,0,0,161,1,999,0,93.994,-36.4,4.857,0
45,1,0,3,1,2,2,0,0,0,787,1,999,0,93.994,-36.4,4.857,0
55,9,0,4,1,2,1,0,0,0,145,1,999,0,93.994,-36.4,4.857,0
25,5,2,5,2,2,2,0,0,0,174,1,999,0,93.994,-36.4,4.857,0
47,2,0,5,1,1,2,0,0,0,449,1,999,0,93.994,-36.4,4.857,0
51,0,0,0,2,2,2,0,0,0,812,1,999,0,93.994,-36.4,4.857,0
42,0,0,1,1,2,2,0,0,0,164,1,999,0,93.994,-36.4,4.857,0
42,0,0,1,1,1,2,0,0,0,366,1,999,0,93.994,-36.4,4.857,0
48,8,0,3,2,1,2,0,0,0,357,1,999,0,93.994,-36.4,4.857,0
37,8,0,5,2,1,2,0,0,0,232,1,999,0,93.994,-36.4,4.857,0
44,0,2,0,2,2,2,0,0,0,91,1,999,0,93.994,-36.4,4.857,0
33,8,0,6,2,2,2,0,0,0,273,1,999,0,93.994,-36.4,4.857,0
56,8,0,0,2,2,2,0,0,0,158,2,999,0,93.994,-36.4,4.857,0
44,0,2,2,1,2,1,0,0,0,177,1,999,0,93.994,-36.4,4.857,0
41,7,0,1,2,1,2,0,0,0,200,1,999,0,93.994,-36.4,4.857,0
44,7,1,5,2,2,2,0,0,0,172,1,999,0,93.994,-36.4,4.857,0
47,8,0,5,1,2,2,0,0,0,176,1,999,0,93.994,-36.4,4.857,0
57,6,0,6,1,1,2,0,0,0,211,1,999,0,93.994,-36.4,4.857,0
37,8,0,5,1,2,2,0,0,0,214,1,999,0,93.994,-36.4,4.857,0
41,0,1,2,1,2,2,0,0,0,1575,1,999,0,93.994,-36.4,4.857,1
55,5,0,5,2,1,2,0,0,0,349,1,999,0,93.994,-36.4,4.857,0
33,1,0,3,1,2,2,0,0,0,337,2,999,0,93.994,-36.4,4.857,0
55,7,0,6,1,2,2,0,0,0,272,1,999,0,93.994,-36.4,4.857,0
42,0,0,0,1,1,2,0,0,0,208,1,999,0,93.994,-36.4,4.857,0
50,0,0,2,1,2,2,0,0,0,193,1,999,0,93.994,-36.4,4.857,0
51,0,0,2,1,0,0,0,0,0,212,1,999,0,93.994,-36.4,4.857,0
38,8,0,3,1,1,2,0,0,0,165,2,999,0,93.994,-36.4,4.857,0
49,2,0,5,1,2,2,0,0,0,1042,1,999,0,93.994,-36.4,4.857,1
38,5,2,5,2,1,1,0,0,0,20,1,999,0,93.994,-36.4,4.857,0
31,8,1,3,2,1,2,0,0,0,246,1,999,0,93.994,-36.4,4.857,0
41,7,0,1,2,1,2,0,0,0,529,2,999,0,93.994,-36.4,4.857,0
39,8,0,5,2,2,1,0,0,0,192,1,999,0,93.994,-36.4,4.857,0
49,5,0,0,2,1,2,0,0,0,1467,1,999,0,93.994,-36.4,4.857,1
34,8,0,3,2,2,2,0,0,0,188,2,999,0,93.994,-36.4,4.857,0
35,8,0,5,2,2,2,0,0,0,180,2,999,0,93.994,-36.4,4.857,0
57,6,0,6,1,2,2,0,0,0,48,1,999,0,93.994,-36.4,4.857,0
60,8,0,6,1,1,1,0,0,0,213,2,999,0,93.994,-36.4,4.857,0
33,9,0,0,2,1,2,0,0,0,545,1,999,0,93.994,-36.4,4.857,0
42,0,0,1,2,1,1,0,0,0,583,1,999,0,93.994,-36.4,4.857,0
45,1,0,4,2,2,2,0,0,0,221,1,999,0,93.994,-36.4,4.857,0
42,7,0,5,2,1,2,0,0,0,426,1,999,0,93.994,-36.4,4.857,0
53,8,1,5,1,1,2,0,0,0,287,1,999,0,93.994,-36.4,4.857,0
37,5,2,4,2,1,2,0,0,0,197,1,999,0,93.994,-36.4,4.857,0
44,0,0,1,2,1,2,0,0,0,257,1,999,0,93.994,-36.4,4.857,0
54,1,0,6,2,2,2,0,0,0,229,1,999,0,93.994,-36.4,4.857,0
49,0,0,2,2,1,2,0,0,0,55,3,999,0,93.994,-36.4,4.857,0
54,1,0,6,2,1,2,0,0,0,400,1,999,0,93.994,-36.4,4.857,0
52,8,1,5,2,1,2,0,0,0,197,1,999,0,93.994,-36.4,4.857,0
52,8,1,5,2,1,2,0,0,0,190,1,999,0,93.994,-36.4,4.857,0
43,1,2,3,1,1,2,0,0,0,21,1,999,0,93.994,-36.4,4.857,0
34,3,0,1,2,2,2,0,0,0,300,2,999,0,93.994,-36.4,4.857,0
35,8,0,3,2,2,2,0,0,0,123,2,999,0,93.994,-36.4,4.857,0
42,2,0,6,1,2,2,0,0,0,293,1,999,0,93.994,-36.4,4.857,0
43,5,0,6,1,2,1,0,0,0,325,1,999,0,93.994,-36.4,4.857,0
60,10,1,5,1,1,2,0,0,0,514,1,999,0,93.994,-36.4,4.857,0
58,9,0,2,1,1,2,0,0,0,849,2,999,0,93.994,-36.4,4.857,0
35,1,1,3,2,2,2,0,0,0,194,1,999,0,93.994,-36.4,4.857,0
55,0,0,0,1,2,2,0,0,0,212,2,999,0,93.994,-36.4,4.857,0
37,7,0,5,2,1,2,0,0,0,337,2,999,0,93.994,-36.4,4.857,0
36,0,0,3,2,1,2,0,0,0,286,1,999,0,93.994,-36.4,4.857,0
52,8,1,5,2,1,2,0,0,0,247,2,999,0,93.994,-36.4,4.857,0
57,0,1,6,1,2,2,0,0,0,518,1,999,0,93.994,-36.4,4.857,0
56,8,0,6,2,2,2,0,0,0,364,1,999,0,93.994,-36.4,4.857,0
48,0,1,2,1,2,2,0,0,0,178,1,999,0,93.994,-36.4,4.857,0
40,0,0,3,1,2,2,0,0,0,98,1,999,0,93.994,-36.4,4.857,0
49,0,1,3,2,1,2,0,0,0,439,1,999,0,93.994,-36.4,4.857,0
41,1,0,3,2,1,2,0,0,0,139,1,999,0,93.994,-36.4,4.857,0
45,5,0,3,2,2,2,0,0,0,79,1,999,0,93.994,-36.4,4.857,0
32,8,0,5,2,2,1,0,0,0,175,1,999,0,93.994,-36.4,4.857,0
42,8,0,5,2,1,1,0,0,0,262,2,999,0,93.994,-36.4,4.857,0
50,8,0,1,2,1,2,0,0,0,61,1,999,0,93.994,-36.4,4.857,0
31,5,1,4,2,2,1,0,0,0,78,1,999,0,93.994,-36.4,4.857,0
56,10,0,2,2,2,2,0,0,0,102,2,999,0,93.994,-36.4,4.857,0
41,5,0,4,1,2,2,0,0,0,579,1,999,0,93.994,-36.4,4.857,1
37,0,0,1,2,2,1,0,0,0,143,1,999,0,93.994,-36.4,4.857,0
41,5,0,4,1,1,2,0,0,0,677,1,999,0,93.994,-36.4,4.857,0
35,0,0,6,2,2,2,0,0,0,267,1,999,0,93.994,-36.4,4.857,0
37,0,0,1,2,2,2,0,0,0,345,1,999,0,93.994,-36.4,4.857,0
52,7,0,5,2,1,2,0,0,0,185,1,999,0,93.994,-36.4,4.857,0
39,7,1,5,2,1,2,0,0,0,207,1,999,0,93.994,-36.4,4.857,0
39,3,0,2,1,1,2,0,0,0,69,2,999,0,93.994,-36.4,4.857,0
56,0,0,2,1,1,2,0,0,0,100,2,999,0,93.994,-36.4,4.857,0
34,1,0,3,2,2,2,0,0,0,125,2,999,0,93.994,-36.4,4.857,0
45,0,0,0,1,2,2,0,0,0,461,1,999,0,93.994,-36.4,4.857,1
43,9,2,5,2,2,2,0,0,0,240,1,999,0,93.994,-36.4,4.857,0
56,7,0,6,2,2,2,0,0,0,70,1,999,0,93.994,-36.4,4.857,0
39,7,0,5,2,2,2,0,0,0,193,1,999,0,93.994,-36.4,4.857,0
53,0,0,2,2,2,2,0,0,0,136,1,999,0,93.994,-36.4,4.857,0
38,6,1,3,1,2,2,0,0,0,73,1,999,0,93.994,-36.4,4.857,0
42,0,0,2,1,2,2,0,0,0,528,1,999,0,93.994,-36.4,4.857,0
42,0,0,2,1,1,2,0,0,0,541,1,999,0,93.994,-36.4,4.857,0
35,8,2,3,2,2,2,0,0,0,338,1,999,0,93.994,-36.4,4.857,0
40,8,0,5,1,2,2,0,0,0,163,1,999,0,93.994,-36.4,4.857,0
51,0,0,2,2,2,2,0,0,0,87,1,999,0,93.994,-36.4,4.857,0
60,0,0,0,1,1,2,0,0,0,301,1,999,0,93.994,-36.4,4.857,0
56,2,0,6,1,2,2,0,0,0,46,1,999,0,93.994,-36.4,4.857,0
39,1,1,3,1,2,2,0,0,0,52,1,999,0,93.994,-36.4,4.857,0
56,2,0,6,1,1,2,0,0,0,204,1,999,0,93.994,-36.4,4.857,0
40,0,0,6,2,2,1,0,0,0,155,1,999,0,93.994,-36.4,4.857,0
36,0,0,0,2,2,1,0,0,0,98,1,999,0,93.994,-36.4,4.857,0
51,0,0,6,1,2,2,0,0,0,71,1,999,0,93.994,-36.4,4.857,0
51,0,0,6,1,1,2,0,0,0,243,1,999,0,93.994,-36.4,4.857,0
43,5,2,4,2,2,2,0,0,0,186,2,999,0,93.994,-36.4,4.857,0
59,1,0,3,2,1,2,0,0,0,579,2,999,0,93.994,-36.4,4.857,0
24,7,2,5,2,2,2,0,0,0,165,2,999,0,93.994,-36.4,4.857,0
37,0,2,0,1,2,1,0,0,0,163,2,999,0,93.994,-36.4,4.857,0
40,0,0,0,1,1,2,0,0,0,46,1,999,0,93.994,-36.4,4.857,0
42,0,0,0,1,1,2,0,0,0,559,3,999,0,93.994,-36.4,4.857,0
39,1,1,3,1,1,2,0,0,0,2033,1,999,0,93.994,-36.4,4.857,0
37,2,0,1,2,1,2,0,0,0,85,1,999,0,93.994,-36.4,4.857,0
38,1,0,3,2,2,1,0,0,0,506,1,999,0,93.994,-36.4,4.857,0
56,8,1,6,1,1,2,0,0,0,114,2,999,0,93.994,-36.4,4.857,0
40,0,0,6,2,1,2,0,0,0,114,2,999,0,93.994,-36.4,4.857,0
54,7,1,5,2,2,2,0,0,0,843,2,999,0,93.994,-36.4,4.857,0
43,0,0,3,1,1,1,0,0,0,181,1,999,0,93.994,-36.4,4.857,0
36,1,0,3,1,1,2,0,0,0,427,1,999,0,93.994,-36.4,4.857,0
45,5,0,5,2,2,1,0,0,0,292,1,999,0,93.994,-36.4,4.857,0
42,8,2,5,1,1,2,0,0,0,192,1,999,0,93.994,-36.4,4.857,0
43,1,0,3,2,1,2,0,0,0,93,3,999,0,93.994,-36.4,4.857,0
46,7,0,0,2,1,2,0,0,0,128,2,999,0,93.994,-36.4,4.857,0
44,1,0,3,2,2,1,0,0,0,107,1,999,0,93.994,-36.4,4.857,0
51,8,2,1,2,1,2,0,0,0,303,2,999,0,93.994,-36.4,4.857,0
28,1,0,3,2,2,2,0,0,0,81,1,999,0,93.994,-36.4,4.857,0
37,0,0,0,2,1,2,0,0,0,270,1,999,0,93.994,-36.4,4.857,0
34,5,0,3,2,1,2,0,0,0,228,1,999,0,93.994,-36.4,4.857,0
46,0,0,1,1,2,2,0,0,0,240,1,999,0,93.994,-36.4,4.857,0
42,0,0,0,2,2,1,0,0,0,673,2,999,0,93.994,-36.4,4.857,1
36,8,0,5,2,2,2,0,0,0,233,3,999,0,93.994,-36.4,4.857,0
54,0,0,2,1,1,2,0,0,0,102,1,999,0,93.994,-36.4,4.857,0
57,7,0,5,2,1,2,0,0,0,461,1,999,0,93.994,-36.4,4.857,0
51,5,0,1,1,1,2,0,0,0,250,1,999,0,93.994,-36.4,4.857,0
54,10,0,3,1,1,2,0,0,0,130,1,999,0,93.994,-36.4,4.857,0
49,0,0,2,1,1,2,0,0,0,252,1,999,0,93.994,-36.4,4.857,0
34,8,0,5,2,2,2,0,0,0,138,1,999,0,93.994,-36.4,4.857,0
41,5,0,4,2,1,2,0,0,0,412,1,999,0,93.994,-36.4,4.857,0
38,0,2,0,2,2,2,0,0,0,179,2,999,0,93.994,-36.4,4.857,0
45,7,1,5,2,1,2,0,0,0,19,2,999,0,93.994,-36.4,4.857,0
42,5,0,5,2,1,2,0,0,0,228,2,999,0,93.994,-36.4,4.857,0
34,0,2,0,1,2,2,0,0,0,55,1,999,0,93.994,-36.4,4.857,0
48,0,0,2,2,2,2,0,0,0,717,1,999,0,93.994,-36.4,4.857,0
37,8,0,3,1,2,2,0,0,0,313,1,999,0,93.994,-36.4,4.857,0
34,0,2,0,1,1,2,0,0,0,289,1,999,0,93.994,-36.4,4.857,0
40,8,0,0,1,2,2,0,0,0,683,2,999,0,93.994,-36.4,4.857,0
43,0,0,1,2,2,2,0,0,0,1077,1,999,0,93.994,-36.4,4.857,0
33,1,0,3,2,1,2,0,0,0,146,2,999,0,93.994,-36.4,4.857,0
32,1,2,1,2,1,2,0,0,0,167,1,999,0,93.994,-36.4,4.857,0
39,0,0,3,2,2,2,0,0,0,356,2,999,0,93.994,-36.4,4.857,0
43,8,0,6,2,1,2,0,0,0,277,1,999,0,93.994,-36.4,4.857,0
44,0,0,0,2,2,2,0,0,0,172,1,999,0,93.994,-36.4,4.857,0
35,11,2,5,1,1,2,0,0,0,218,1,999,0,93.994,-36.4,4.857,0
35,11,2,5,1,2,1,0,0,0,217,1,999,0,93.994,-36.4,4.857,0
35,9,0,4,2,1,2,0,0,0,67,1,999,0,93.994,-36.4,4.857,0
36,1,2,2,2,1,2,0,0,0,291,1,999,0,93.994,-36.4,4.857,0
35,11,2,5,1,2,2,0,0,0,248,1,999,0,93.994,-36.4,4.857,0
36,11,2,0,2,2,2,0,0,0,256,1,999,0,93.994,-36.4,4.857,0
55,3,1,5,2,1,2,0,0,0,286,1,999,0,93.994,-36.4,4.857,0
59,8,0,5,2,1,2,0,0,0,477,1,999,0,93.994,-36.4,4.857,0
57,10,0,6,1,1,2,0,0,0,611,2,999,0,93.994,-36.4,4.857,0
39,0,0,4,1,2,2,0,0,0,471,1,999,0,93.994,-36.4,4.857,0
39,3,0,2,1,2,2,0,0,0,381,2,999,0,93.994,-36.4,4.857,0
30,0,2,6,2,2,2,0,0,0,251,1,999,0,93.994,-36.4,4.857,0
30,0,2,6,2,2,1,0,0,0,408,1,999,0,93.994,-36.4,4.857,0
50,3,0,2,1,1,2,0,0,0,287,1,999,0,93.994,-36.4,4.857,0
40,1,0,3,2,1,2,0,0,0,322,3,999,0,93.994,-36.4,4.857,0
35,8,0,3,2,2,2,0,0,0,216,2,999,0,93.994,-36.4,4.857,0
43,5,0,6,1,1,2,0,0,0,366,2,999,0,93.994,-36.4,4.857,0
36,1,2,1,1,2,2,0,0,0,210,1,999,0,93.994,-36.4,4.857,0
46,5,0,2,1,2,2,0,0,0,288,1,999,0,93.994,-36.4,4.857,0
40,5,0,0,2,1,2,0,0,0,168,1,999,0,93.994,-36.4,4.857,0
58,10,0,5,2,1,2,0,0,0,132,1,999,0,93.994,-36.4,4.857,0
42,5,0,5,2,1,2,0,0,0,64,2,999,0,93.994,-36.4,4.857,0
35,8,2,5,2,1,2,0,0,0,209,2,999,0,93.994,-36.4,4.857,0
43,10,0,2,1,1,2,0,0,0,410,3,999,0,93.994,-36.4,4.857,0
45,0,0,2,2,2,1,0,0,0,177,1,999,0,93.994,-36.4,4.857,0
39,8,0,4,2,2,2,0,0,0,580,2,999,0,93.994,-36.4,4.857,0
50,1,1,4,2,2,2,0,0,0,165,1,999,0,93.994,-36.4,4.857,0
32,7,1,2,1,2,2,0,0,0,127,2,999,0,93.994,-36.4,4.857,0
39,8,0,3,1,1,2,0,0,0,357,1,999,0,93.994,-36.4,4.857,0
52,4,0,5,1,1,2,0,0,0,175,1,999,0,93.994,-36.4,4.857,0
44,8,0,4,2,2,2,0,0,0,300,1,999,0,93.994,-36.4,4.857,0
56,0,0,2,2,1,2,0,0,0,136,1,999,0,93.994,-36.4,4.857,0
48,8,0,3,2,1,2,0,0,0,125,2,999,0,93.994,-36.4,4.857,0
33,1,0,3,1,1,1,0,0,0,189,2,999,0,93.994,-36.4,4.857,0
43,7,0,5,1,1,1,0,0,0,213,3,999,0,93.994,-36.4,4.857,0
57,10,0,3,2,1,2,0,0,0,238,2,999,0,93.994,-36.4,4.857,0
36,5,2,4,2,1,2,0,0,0,124,1,999,0,93.994,-36.4,4.857,0
34,7,0,5,2,2,2,0,0,0,18,1,999,0,93.994,-36.4,4.857,0
34,1,2,0,2,1,2,0,0,0,730,2,999,0,93.994,-36.4,4.857,0
30,5,0,5,1,1,2,0,0,0,40,1,999,0,93.994,-36.4,4.857,0
33,1,1,6,2,1,2,0,0,0,181,2,999,0,93.994,-36.4,4.857,0
32,5,2,4,2,1,2,0,0,0,79,1,999,0,93.994,-36.4,4.857,0
36,5,2,3,2,2,2,0,0,0,142,2,999,0,93.994,-36.4,4.857,0
36,0,2,3,2,1,1,0,0,0,389,1,999,0,93.994,-36.4,4.857,0
33,1,2,3,2,1,2,0,0,0,702,1,999,0,93.994,-36.4,4.857,0
40,5,1,4,2,1,2,0,0,0,151,1,999,0,93.994,-36.4,4.857,0
41,0,0,2,2,2,2,0,0,0,211,1,999,0,93.994,-36.4,4.857,0
51,1,0,1,2,2,2,0,0,0,117,1,999,0,93.994,-36.4,4.857,0
36,5,0,4,2,2,2,0,0,0,232,3,999,0,93.994,-36.4,4.857,0
28,1,0,6,2,1,2,0,0,0,408,2,999,0,93.994,-36.4,4.857,0
53,1,0,3,2,2,1,0,0,0,370,3,999,0,93.994,-36.4,4.857,0
58,0,0,0,1,2,2,0,0,0,179,2,999,0,93.994,-36.4,4.857,0
45,7,0,0,2,1,1,0,0,0,46,1,999,0,93.994,-36.4,4.857,0
43,5,0,6,2,2,2,0,0,0,200,1,999,0,93.994,-36.4,4.857,0
33,8,0,3,2,1,1,0,0,0,50,1,999,0,93.994,-36.4,4.857,0
33,8,0,3,2,1,1,0,0,0,181,1,999,0,93.994,-36.4,4.857,0
27,0,2,1,2,0,0,0,0,0,119,1,999,0,93.994,-36.4,4.857,0
42,5,0,3,2,1,2,0,0,0,361,1,999,0,93.994,-36.4,4.857,0
43,8,1,0,2,1,2,0,0,0,73,3,999,0,93.994,-36.4,4.857,0
42,8,0,5,2,1,2,0,0,0,67,2,999,0,93.994,-36.4,4.857,0
27,0,2,1,2,1,2,0,0,0,350,1,999,0,93.994,-36.4,4.857,0
34,4,2,5,2,2,2,0,0,0,150,2,999,0,93.994,-36.4,4.857,0
31,11,2,5,1,1,2,0,0,0,332,2,999,0,93.994,-36.4,4.857,0
54,7,1,5,2,1,2,0,0,0,611,2,999,0,93.994,-36.4,4.857,0
40,4,0,2,1,1,2,0,0,0,58,3,999,0,93.994,-36.4,4.857,0
52,9,0,3,1,2,2,0,0,0,151,1,999,0,93.994,-36.4,4.857,0
47,7,1,5,2,1,2,0,0,0,89,2,999,0,93.994,-36.4,4.857,0
49,3,0,0,1,1,2,0,0,0,152,1,999,0,93.994,-36.4,4.857,0
32,8,2,3,2,1,2,0,0,0,611,2,999,0,93.994,-36.4,4.857,0
49,3,2,3,1,2,1,0,0,0,110,2,999,0,93.994,-36.4,4.857,0
50,0,0,0,1,1,2,0,0,0,463,1,999,0,93.994,-36.4,4.857,0
34,1,0,3,2,1,2,0,0,0,962,1,999,0,93.994,-36.4,4.857,0
55,0,0,2,1,1,2,0,0,0,102,2,999,0,93.994,-36.4,4.857,0
47,5,2,0,2,1,2,0,0,0,10,4,999,0,93.994,-36.4,4.857,0
51,10,0,4,2,1,2,0,0,0,118,3,999,0,93.994,-36.4,4.857,0
47,0,0,1,2,1,2,0,0,0,92,2,999,0,93.994,-36.4,4.857,0
56,5,0,2,2,2,2,0,0,0,143,3,999,0,93.994,-36.4,4.857,0
53,8,0,0,2,1,2,0,0,0,189,3,999,0,93.994,-36.4,4.857,0
36,0,0,0,2,2,2,0,0,0,75,2,999,0,93.994,-36.4,4.857,0
42,0,1,0,2,2,2,0,0,0,189,2,999,0,93.994,-36.4,4.857,0
44,0,1,1,2,1,2,0,0,0,55,2,999,0,93.994,-36.4,4.857,0
39,3,0,0,2,2,2,0,0,0,935,3,999,0,93.994,-36.4,4.857,1
37,8,2,3,2,2,1,0,0,0,56,2,999,0,93.994,-36.4,4.857,0
60,0,0,6,1,2,2,0,0,0,5,2,999,0,93.994,-36.4,4.857,0
36,1,0,3,2,1,2,0,0,0,225,2,999,0,93.994,-36.4,4.857,0
42,7,1,5,2,2,2,0,0,0,125,2,999,0,93.994,-36.4,4.857,0
31,8,0,3,2,2,1,0,0,0,286,2,999,0,93.994,-36.4,4.857,0
53,5,1,4,1,1,1,0,0,0,206,2,999,0,93.994,-36.4,4.857,0
45,0,0,2,2,2,2,0,0,0,164,2,999,0,93.994,-36.4,4.857,0
37,5,2,4,2,2,2,0,0,0,98,2,999,0,93.994,-36.4,4.857,0
47,4,0,4,2,1,2,0,0,0,446,2,999,0,93.994,-36.4,4.857,0
49,0,1,3,2,1,1,0,0,0,742,2,999,0,93.994,-36.4,4.857,0
36,8,0,5,2,2,2,0,0,0,120,2,999,0,93.994,-36.4,4.857,0
35,1,1,3,2,1,2,0,0,0,122,3,999,0,93.994,-36.4,4.857,0
38,6,0,6,1,1,2,0,0,0,362,4,999,0,93.994,-36.4,4.857,0
38,1,2,3,1,1,2,0,0,0,357,2,999,0,93.994,-36.4,4.857,0
50,0,1,3,1,1,1,0,0,0,200,2,999,0,93.994,-36.4,4.857,0
59,10,0,4,1,1,2,0,0,0,107,2,999,0,93.994,-36.4,4.857,0
43,6,0,6,2,2,2,0,0,0,267,2,999,0,93.994,-36.4,4.857,0
42,8,0,3,2,2,2,0,0,0,248,2,999,0,93.994,-36.4,4.857,0
40,8,0,1,1,2,2,0,0,0,215,2,999,0,93.994,-36.4,4.857,0
46,0,0,6,1,1,2,0,0,0,209,2,999,0,93.994,-36.4,4.857,0
57,3,1,2,2,2,1,0,0,0,205,2,999,0,93.994,-36.4,4.857,0
42,8,0,5,2,2,2,0,0,0,261,3,999,0,93.994,-36.4,4.857,0
41,0,0,2,2,2,2,0,0,0,83,2,999,0,93.994,-36.4,4.857,0
54,7,1,5,2,2,2,0,0,0,106,3,999,0,93.994,-36.4,4.857,0
27,8,2,5,2,1,2,0,0,0,106,2,999,0,93.994,-36.4,4.857,0
36,8,0,3,2,1,2,0,0,0,108,2,999,0,93.994,-36.4,4.857,0
58,0,0,4,1,2,2,0,0,0,214,2,999,0,93.994,-36.4,4.857,0
40,7,0,5,1,2,2,0,0,0,358,2,999,0,93.994,-36.4,4.857,0
34,8,2,0,1,1,2,0,0,0,453,2,999,0,93.994,-36.4,4.857,0
33,8,1,3,2,1,2,0,0,0,364,2,999,0,93.994,-36.4,4.857,0
56,10,0,1,2,1,2,0,0,0,136,2,999,0,93.994,-36.4,4.857,0
42,0,0,0,2,1,2,0,0,0,173,2,999,0,93.994,-36.4,4.857,0
43,1,0,3,2,2,2,0,0,0,241,2,999,0,93.994,-36.4,4.857,0
54,7,2,0,2,2,2,0,0,0,224,3,999,0,93.994,-36.4,4.857,0
53,8,2,1,2,2,1,0,0,0,148,2,999,0,93.994,-36.4,4.857,0
